model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
er_randN,9,0.95,0.8,1.0,80,9.400459289550781,100.0
ws_p01_randN,9,0.95,0.8,1.0,30,9.211016654968262,98.60351558512093
ws_p01_randN,9,0.95,0.8,1.0,50,9.249923706054688,99.0200138026225
ws_p01_randN,9,0.95,0.8,1.0,80,9.341468811035156,100.0
local_sign,9,0.95,0.8,1.0,30,4.463981628417969,96.77456302502071
local_sign,9,0.95,0.8,1.0,50,4.518366813659668,97.9535783021659
local_sign,9,0.95,0.8,1.0,80,4.612763404846191,100.0
local_sign+flat,9,0.95,0.8,1.0,30,5.665628433227539,97.05207706933813
local_sign+flat,9,0.95,0.8,1.0,50,5.718956470489502,97.96558504877973
local_sign+flat,9,0.95,0.8,1.0,80,5.837719917297363,100.0
local_sign+binary,9,0.95,0.8,1.0,30,4.258942604064941,96.55407780756144
local_sign+binary,9,0.95,0.8,1.0,50,4.315632343292236,97.83928542858415
local_sign+binary,9,0.95,0.8,1.0,80,4.410940170288086,100.0
global_sign_pres,9,0.95,0.8,1.0,30,3.934460401535034,97.56801898583748
global_sign_pres,9,0.95,0.8,1.0,50,3.9895081520080566,98.93311087014874
global_sign_pres,9,0.95,0.8,1.0,80,4.032530784606934,100.0
global_sign_pres_real_weight,9,0.95,0.8,1.0,30,3.9511425495147705,96.55630667819666
global_sign_pres_real_weight,9,0.95,0.8,1.0,50,4.021546840667725,98.27681618723994
global_sign_pres_real_weight,9,0.95,0.8,1.0,80,4.092060565948486,100.0
binary_base,9,0.95,0.8,1.0,30,3.989779472351074,97.30817708952375
binary_base,9,0.95,0.8,1.0,50,4.022845268249512,98.11463076577047
binary_base,9,0.95,0.8,1.0,80,4.1001482009887695,100.0
real,10,0.95,0.8,1.0,30,3.9563326835632324,97.70058867416898
real,10,0.95,0.8,1.0,50,4.0061750411987305,98.93143250641992
real,10,0.95,0.8,1.0,80,4.049446105957031,100.0
cel_randN,10,0.95,0.8,1.0,30,7.664033889770508,97.76028316744494
cel_randN,10,0.95,0.8,1.0,50,7.723354816436768,98.51696439720689
cel_randN,10,0.95,0.8,1.0,80,7.839619159698486,100.0
er_randN,10,0.95,0.8,1.0,30,9.181970596313477,98.33735412296058
er_randN,10,0.95,0.8,1.0,50,9.23709487915039,98.92772588087976
er_randN,10,0.95,0.8,1.0,80,9.337215423583984,100.0
ws_p01_randN,10,0.95,0.8,1.0,30,9.113184928894043,98.24485124940588
ws_p01_randN,10,0.95,0.8,1.0,50,9.203697204589844,99.22062043782488
ws_p01_randN,10,0.95,0.8,1.0,80,9.275992393493652,100.0
local_sign,10,0.95,0.8,1.0,30,5.57549524307251,97.85220198525303
local_sign,10,0.95,0.8,1.0,50,5.596039772033691,98.2127667978765
local_sign,10,0.95,0.8,1.0,80,5.697874069213867,100.0
local_sign+flat,10,0.95,0.8,1.0,30,3.7714693546295166,97.86029476949052
local_sign+flat,10,0.95,0.8,1.0,50,3.7893290519714355,98.32370970993772
local_sign+flat,10,0.95,0.8,1.0,80,3.8539321422576904,100.0
local_sign+binary,10,0.95,0.8,1.0,30,5.04753303527832,98.40547061267362
local_sign+binary,10,0.95,0.8,1.0,50,5.079132556915283,99.02152716467383
