mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
weight_test0.0,0,1.05,0.8,1.5,2.5536632537841797,3.692685067653656,3.7084712982177734,7.50103235244751,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,1.0,0.1,5.4619364738464355,7.049276113510132,2.5367062091827393,2.7920331954956055,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,1.0,0.5,3.6632518768310547,5.005945324897766,3.8496928215026855,5.721325397491455,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,1.0,1.0,3.739886522293091,4.580763638019562,3.770606279373169,7.027902126312256,0.0023974692448973656,chunk_0
weight_test0.0,0,1.05,1.0,1.5,2.7839293479919434,3.9221169352531433,5.0434088706970215,10.865400314331055,0.0023974692448973656,chunk_0
weight_test1.0,0,0.6,0.6,0.1,4.325056076049805,4.64951103925705,1.458070993423462,1.50938081741333,0.0013547084527090192,chunk_0
weight_test1.0,0,0.6,0.6,0.5,3.6037051677703857,4.906446218490601,1.812546730041504,2.302337169647217,0.0013619964011013508,chunk_0
weight_test1.0,0,0.6,0.6,1.0,3.676708221435547,5.555504858493805,2.012761354446411,3.0838990211486816,0.0013601842802017927,chunk_0
weight_test1.0,0,0.6,0.6,1.5,2.9957194328308105,4.307955503463745,2.180999517440796,3.8193540573120117,0.0013889526017010212,chunk_0
weight_test1.0,0,0.6,0.8,0.1,4.482033729553223,4.834933519363403,1.5915038585662842,1.6493946313858032,0.001363578368909657,chunk_0
weight_test1.0,0,0.6,0.8,0.5,4.328948020935059,5.300111889839172,1.8754091262817383,2.4147756099700928,0.00137546774931252,chunk_0
weight_test1.0,0,0.6,0.8,1.0,2.413892984390259,2.560618281364441,2.1367850303649902,3.4247756004333496,0.0013784130569547415,chunk_0
weight_test1.0,0,0.6,0.8,1.5,2.4218790531158447,3.2898085713386536,2.3024749755859375,3.856733798980713,0.0013374410336837173,chunk_0
weight_test1.0,0,0.6,1.0,0.1,4.875002384185791,5.580396831035614,1.573669195175171,1.6372029781341553,0.0013761726440861821,chunk_0
weight_test1.0,0,0.6,1.0,0.5,4.8113508224487305,7.032821297645569,2.004070281982422,2.7209057807922363,0.0013687916798517108,chunk_0
weight_test1.0,0,0.6,1.0,1.0,2.0421385765075684,3.713861048221588,2.3136143684387207,3.8440420627593994,0.0013625627616420388,chunk_0
weight_test1.0,0,0.6,1.0,1.5,3.081939220428467,4.769756615161896,2.4974167346954346,4.417740821838379,0.001356434659101069,chunk_0
weight_test1.0,0,0.8,0.6,0.1,5.100709915161133,5.492140710353851,2.1561567783355713,2.207805633544922,0.0018229774432256818,chunk_0
weight_test1.0,0,0.8,0.6,0.5,4.6055216789245605,6.375661492347717,1.952599048614502,2.634885787963867,0.0018441933207213879,chunk_0
weight_test1.0,0,0.8,0.6,1.0,2.345026969909668,3.41631680727005,2.7835652828216553,4.351685523986816,0.0018350508762523532,chunk_0
weight_test1.0,0,0.8,0.6,1.5,1.930129051208496,2.957001566886902,2.733071804046631,4.853843688964844,0.0018017792608588934,chunk_0
weight_test1.0,0,0.8,0.8,0.1,5.668108940124512,6.305879354476929,1.9689873456954956,2.051593065261841,0.001849252381362021,chunk_0
weight_test1.0,0,0.8,0.8,0.5,4.321776390075684,6.210722982883453,1.9470950365066528,2.5029077529907227,0.001825213897973299,chunk_0
weight_test1.0,0,0.8,0.8,1.0,3.565168619155884,5.399205982685089,2.6159420013427734,4.511740207672119,0.0018245134269818664,chunk_0
weight_test1.0,0,0.8,0.8,1.5,3.522578239440918,4.81809401512146,2.843183755874634,5.4916462898254395,0.0018329768208786845,chunk_0
weight_test1.0,0,0.8,1.0,0.1,6.19266414642334,6.978461802005768,2.2041568756103516,2.2789735794067383,0.0018571986583992839,chunk_0
weight_test1.0,0,0.8,1.0,0.5,5.148274898529053,7.600884735584259,2.587491273880005,3.621260404586792,0.0018353088526055217,chunk_0
weight_test1.0,0,0.8,1.0,1.0,3.4584856033325195,5.385426044464111,2.6887001991271973,4.628014087677002,0.0018535825656726956,chunk_0
weight_test1.0,0,0.8,1.0,1.5,3.6642491817474365,3.6796091198921204,3.2524213790893555,6.3791046142578125,0.0018349157180637121,chunk_0
