config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,er_randN,8,0.8,0.8,0.5,500,1500,500,11.06096076965332,100.0
baseline,ws_p01_randN,8,0.8,0.8,0.5,500,1500,500,11.576786041259766,100.0
baseline,conn_shuf,8,0.8,0.8,0.5,500,1500,500,4.3490729331970215,100.0
baseline,local_sign,8,0.8,0.8,0.5,500,1500,500,4.044610500335693,100.0
baseline,conn_shuf_only,8,0.8,0.8,0.5,500,1500,500,4.056755542755127,100.0
baseline,cel_sample,8,0.8,0.8,0.5,500,1500,500,4.644357204437256,100.0
baseline,local_sign+flat,8,0.8,0.8,0.5,500,1500,500,4.020163536071777,100.0
baseline,local_sign+sample,8,0.8,0.8,0.5,500,1500,500,4.357492446899414,100.0
baseline,local_sign+binary,8,0.8,0.8,0.5,500,1500,500,2.955695152282715,100.0
baseline,global_sign_pres,8,0.8,0.8,0.5,500,1500,500,3.2193522453308105,100.0
baseline,binary+shuffle,8,0.8,0.8,0.5,500,1500,500,3.9558348655700684,100.0
baseline,real,8,0.8,0.8,1.0,500,1500,500,1.1538984775543213,100.0
baseline,shuffle_weights,8,0.8,0.8,1.0,500,1500,500,1.421114206314087,100.0
baseline,cel_randN,8,0.8,0.8,1.0,500,1500,500,3.7500710487365723,100.0
baseline,er_randN,8,0.8,0.8,1.0,500,1500,500,8.362723350524902,100.0
baseline,ws_p01_randN,8,0.8,0.8,1.0,500,1500,500,8.855958938598633,100.0
baseline,conn_shuf,8,0.8,0.8,1.0,500,1500,500,2.434767723083496,100.0
baseline,local_sign,8,0.8,0.8,1.0,500,1500,500,2.716171979904175,100.0
baseline,conn_shuf_only,8,0.8,0.8,1.0,500,1500,500,1.9953300952911377,100.0
baseline,cel_sample,8,0.8,0.8,1.0,500,1500,500,3.592578649520874,100.0
baseline,local_sign+flat,8,0.8,0.8,1.0,500,1500,500,2.100245952606201,100.0
baseline,local_sign+sample,8,0.8,0.8,1.0,500,1500,500,2.4326658248901367,100.0
baseline,local_sign+binary,8,0.8,0.8,1.0,500,1500,500,3.2484474182128906,100.0
baseline,global_sign_pres,8,0.8,0.8,1.0,500,1500,500,2.5665998458862305,100.0
baseline,binary+shuffle,8,0.8,0.8,1.0,500,1500,500,2.504965305328369,100.0
baseline,real,8,0.8,0.8,1.5,500,1500,500,1.1280608177185059,100.0
baseline,shuffle_weights,8,0.8,0.8,1.5,500,1500,500,2.6346588134765625,100.0
baseline,cel_randN,8,0.8,0.8,1.5,500,1500,500,3.257437229156494,100.0
baseline,er_randN,8,0.8,0.8,1.5,500,1500,500,6.737801551818848,100.0
baseline,ws_p01_randN,8,0.8,0.8,1.5,500,1500,500,6.775586128234863,100.0
baseline,conn_shuf,8,0.8,0.8,1.5,500,1500,500,2.5880277156829834,100.0
baseline,local_sign,8,0.8,0.8,1.5,500,1500,500,0.9988371133804321,100.0
baseline,conn_shuf_only,8,0.8,0.8,1.5,500,1500,500,2.4105892181396484,100.0
baseline,cel_sample,8,0.8,0.8,1.5,500,1500,500,2.8731720447540283,100.0
baseline,local_sign+flat,8,0.8,0.8,1.5,500,1500,500,1.188693642616272,100.0
baseline,local_sign+sample,8,0.8,0.8,1.5,500,1500,500,2.538973093032837,100.0
baseline,local_sign+binary,8,0.8,0.8,1.5,500,1500,500,2.4024057388305664,100.0
baseline,global_sign_pres,8,0.8,0.8,1.5,500,1500,500,2.423976421356201,100.0
baseline,binary+shuffle,8,0.8,0.8,1.5,500,1500,500,2.7863035202026367,100.0
baseline,real,8,0.8,1.0,0.1,500,1500,500,6.792321681976318,100.0
baseline,shuffle_weights,8,0.8,1.0,0.1,500,1500,500,7.557624816894531,100.0
baseline,cel_randN,8,0.8,1.0,0.1,500,1500,500,17.499286651611328,100.0
baseline,er_randN,8,0.8,1.0,0.1,500,1500,500,23.059627532958984,100.0
baseline,ws_p01_randN,8,0.8,1.0,0.1,500,1500,500,26.02135467529297,100.0
baseline,conn_shuf,8,0.8,1.0,0.1,500,1500,500,7.654504299163818,100.0
baseline,local_sign,8,0.8,1.0,0.1,500,1500,500,6.783212184906006,100.0
baseline,conn_shuf_only,8,0.8,1.0,0.1,500,1500,500,8.069543838500977,100.0
baseline,cel_sample,8,0.8,1.0,0.1,500,1500,500,8.430885314941406,100.0
baseline,local_sign+flat,8,0.8,1.0,0.1,500,1500,500,6.890252590179443,100.0
baseline,local_sign+sample,8,0.8,1.0,0.1,500,1500,500,7.772871017456055,100.0
baseline,local_sign+binary,8,0.8,1.0,0.1,500,1500,500,6.400062561035156,100.0
baseline,global_sign_pres,8,0.8,1.0,0.1,500,1500,500,7.202771186828613,100.0
baseline,binary+shuffle,8,0.8,1.0,0.1,500,1500,500,6.945992946624756,100.0
baseline,real,8,0.8,1.0,0.5,500,1500,500,5.937183380126953,100.0
baseline,shuffle_weights,8,0.8,1.0,0.5,500,1500,500,5.048156261444092,100.0
baseline,cel_randN,8,0.8,1.0,0.5,500,1500,500,10.632791519165039,100.0
baseline,er_randN,8,0.8,1.0,0.5,500,1500,500,13.562196731567383,100.0
baseline,ws_p01_randN,8,0.8,1.0,0.5,500,1500,500,14.474899291992188,100.0
baseline,conn_shuf,8,0.8,1.0,0.5,500,1500,500,4.148766040802002,100.0
baseline,local_sign,8,0.8,1.0,0.5,500,1500,500,5.478775978088379,100.0
baseline,conn_shuf_only,8,0.8,1.0,0.5,500,1500,500,5.099891662597656,100.0
baseline,cel_sample,8,0.8,1.0,0.5,500,1500,500,5.4363017082214355,100.0
baseline,local_sign+flat,8,0.8,1.0,0.5,500,1500,500,4.699410438537598,100.0
baseline,local_sign+sample,8,0.8,1.0,0.5,500,1500,500,5.037050247192383,100.0
baseline,local_sign+binary,8,0.8,1.0,0.5,500,1500,500,5.301012992858887,100.0
baseline,global_sign_pres,8,0.8,1.0,0.5,500,1500,500,5.483425140380859,100.0
baseline,binary+shuffle,8,0.8,1.0,0.5,500,1500,500,3.3080527782440186,100.0
baseline,real,8,0.8,1.0,1.0,500,1500,500,2.9652678966522217,100.0
baseline,shuffle_weights,8,0.8,1.0,1.0,500,1500,500,4.424243450164795,100.0
baseline,cel_randN,8,0.8,1.0,1.0,500,1500,500,5.816099166870117,100.0
