model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
binary_base,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.08615768328309059
binary_base,0,0.95,0.8,1.0,0.0,0.005,8,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.005,10,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.01,1,odd,4.165640696883202
binary_base,0,0.95,0.8,1.0,0.0,0.01,2,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.01,3,odd,1.467974592000246
binary_base,0,0.95,0.8,1.0,0.0,0.01,4,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.01,5,odd,0.29361413419246674
binary_base,0,0.95,0.8,1.0,0.0,0.01,6,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.01,7,odd,0.08615768328309059
binary_base,0,0.95,0.8,1.0,0.0,0.01,8,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.01,9,odd,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.01,10,even,0.0
binary_base,0,0.95,0.8,1.0,0.1,0.0,1,odd,2.4199116576988757
binary_base,0,0.95,0.8,1.0,0.1,0.0,2,even,1.0525155699182278
binary_base,0,0.95,0.8,1.0,0.1,0.0,3,odd,1.3099942616225295
binary_base,0,0.95,0.8,1.0,0.1,0.0,4,even,0.5432707570085835
binary_base,0,0.95,0.8,1.0,0.1,0.0,5,odd,0.8503974079123253
binary_base,0,0.95,0.8,1.0,0.1,0.0,6,even,0.18936981359158267
binary_base,0,0.95,0.8,1.0,0.1,0.0,7,odd,0.15319544174258226
binary_base,0,0.95,0.8,1.0,0.1,0.0,8,even,0.05414036333688088
binary_base,0,0.95,0.8,1.0,0.1,0.0,9,odd,0.06888575050479062
binary_base,0,0.95,0.8,1.0,0.1,0.0,10,even,0.04333476985824092
binary_base,0,0.95,0.8,1.0,0.1,0.001,1,odd,2.4036203984869644
binary_base,0,0.95,0.8,1.0,0.1,0.001,2,even,1.033431927091442
binary_base,0,0.95,0.8,1.0,0.1,0.001,3,odd,1.2950307454448193
binary_base,0,0.95,0.8,1.0,0.1,0.001,4,even,0.5281880729598925
binary_base,0,0.95,0.8,1.0,0.1,0.001,5,odd,0.8342681439826265
binary_base,0,0.95,0.8,1.0,0.1,0.001,6,even,0.1720973652554676
binary_base,0,0.95,0.8,1.0,0.1,0.001,7,odd,0.13252161187119782
binary_base,0,0.95,0.8,1.0,0.1,0.001,8,even,0.03932008519768715
binary_base,0,0.95,0.8,1.0,0.1,0.001,9,odd,0.0504690739326179
binary_base,0,0.95,0.8,1.0,0.1,0.001,10,even,0.026560594444163144
binary_base,0,0.95,0.8,1.0,0.1,0.005,1,odd,2.3807116774842143
binary_base,0,0.95,0.8,1.0,0.1,0.005,2,even,0.9959310702979565
binary_base,0,0.95,0.8,1.0,0.1,0.005,3,odd,1.2628531139343977
binary_base,0,0.95,0.8,1.0,0.1,0.005,4,even,0.5017090756446123
binary_base,0,0.95,0.8,1.0,0.1,0.005,5,odd,0.8091382309794426
binary_base,0,0.95,0.8,1.0,0.1,0.005,6,even,0.148232102394104
binary_base,0,0.95,0.8,1.0,0.1,0.005,7,odd,0.10918770357966423
binary_base,0,0.95,0.8,1.0,0.1,0.005,8,even,0.009052873589098454
binary_base,0,0.95,0.8,1.0,0.1,0.005,9,odd,0.021378427743911743
binary_base,0,0.95,0.8,1.0,0.1,0.005,10,even,0.0
binary_base,0,0.95,0.8,1.0,0.1,0.01,1,odd,2.3717959355562925
binary_base,0,0.95,0.8,1.0,0.1,0.01,2,even,0.9714269349351525
binary_base,0,0.95,0.8,1.0,0.1,0.01,3,odd,1.2509195990860462
binary_base,0,0.95,0.8,1.0,0.1,0.01,4,even,0.5017090756446123
binary_base,0,0.95,0.8,1.0,0.1,0.01,5,odd,0.8041146565228701
binary_base,0,0.95,0.8,1.0,0.1,0.01,6,even,0.148232102394104
binary_base,0,0.95,0.8,1.0,0.1,0.01,7,odd,0.10918770357966423
binary_base,0,0.95,0.8,1.0,0.1,0.01,8,even,0.0
binary_base,0,0.95,0.8,1.0,0.1,0.01,9,odd,0.021378427743911743
binary_base,0,0.95,0.8,1.0,0.1,0.01,10,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,9.947813436315489
er_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.05247882964630435
er_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,5.316818392483356
er_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.04054976890444095
er_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,2.154450090224855
er_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.05008438454996078
er_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.735803843490693
er_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.03568833481408307
er_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.23451660237349614
er_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.033833702342747074
er_randN,0,0.95,0.8,1.0,0.0,0.001,1,odd,9.933812867617235
er_randN,0,0.95,0.8,1.0,0.0,0.001,2,even,0.03247296786867082
er_randN,0,0.95,0.8,1.0,0.0,0.001,3,odd,5.300639412482269
er_randN,0,0.95,0.8,1.0,0.0,0.001,4,even,0.022864533122628927
er_randN,0,0.95,0.8,1.0,0.0,0.001,5,odd,2.1441955071641132
er_randN,0,0.95,0.8,1.0,0.0,0.001,6,even,0.0314332494745031
er_randN,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.7204264290630817
er_randN,0,0.95,0.8,1.0,0.0,0.001,8,even,0.02122876129578799
er_randN,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.21824181091506034
er_randN,0,0.95,0.8,1.0,0.0,0.001,10,even,0.014185981592163444
er_randN,0,0.95,0.8,1.0,0.0,0.005,1,odd,9.90880820993334
er_randN,0,0.95,0.8,1.0,0.0,0.005,2,even,0.0066443635150790215
er_randN,0,0.95,0.8,1.0,0.0,0.005,3,odd,5.2604652172885835
er_randN,0,0.95,0.8,1.0,0.0,0.005,4,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.005,5,odd,2.1164348870515823
er_randN,0,0.95,0.8,1.0,0.0,0.005,6,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.005,7,odd,0.6903247307054698
er_randN,0,0.95,0.8,1.0,0.0,0.005,8,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.005,9,odd,0.17665820848196745
er_randN,0,0.95,0.8,1.0,0.0,0.005,10,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.01,1,odd,9.890709597617388
er_randN,0,0.95,0.8,1.0,0.0,0.01,2,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.01,3,odd,5.253680438734591
er_randN,0,0.95,0.8,1.0,0.0,0.01,4,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.01,5,odd,2.10679785721004
er_randN,0,0.95,0.8,1.0,0.0,0.01,6,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.01,7,odd,0.6838194942101836
er_randN,0,0.95,0.8,1.0,0.0,0.01,8,even,0.0
er_randN,0,0.95,0.8,1.0,0.0,0.01,9,odd,0.17004220560193062
er_randN,0,0.95,0.8,1.0,0.0,0.01,10,even,0.0
er_randN,0,0.95,0.8,1.0,0.1,0.0,1,odd,9.427982050611263
er_randN,0,0.95,0.8,1.0,0.1,0.0,2,even,4.1218495788100995
er_randN,0,0.95,0.8,1.0,0.1,0.0,3,odd,4.866052096263772
er_randN,0,0.95,0.8,1.0,0.1,0.0,4,even,1.1375718887167254
er_randN,0,0.95,0.8,1.0,0.1,0.0,5,odd,1.822462104536811
er_randN,0,0.95,0.8,1.0,0.1,0.0,6,even,0.32633349241802634
er_randN,0,0.95,0.8,1.0,0.1,0.0,7,odd,0.5327981645694129
er_randN,0,0.95,0.8,1.0,0.1,0.0,8,even,0.12231145209930361
er_randN,0,0.95,0.8,1.0,0.1,0.0,9,odd,0.16386171171819094
er_randN,0,0.95,0.8,1.0,0.1,0.0,10,even,0.07298864038150832
er_randN,0,0.95,0.8,1.0,0.1,0.001,1,odd,9.413591959280893
er_randN,0,0.95,0.8,1.0,0.1,0.001,2,even,4.1063215407775715
er_randN,0,0.95,0.8,1.0,0.1,0.001,3,odd,4.8534993674838915
er_randN,0,0.95,0.8,1.0,0.1,0.001,4,even,1.1225852445932105
er_randN,0,0.95,0.8,1.0,0.1,0.001,5,odd,1.8071567744482309
er_randN,0,0.95,0.8,1.0,0.1,0.001,6,even,0.3112803273834288
er_randN,0,0.95,0.8,1.0,0.1,0.001,7,odd,0.5162184673827142
er_randN,0,0.95,0.8,1.0,0.1,0.001,8,even,0.1061431032139808
er_randN,0,0.95,0.8,1.0,0.1,0.001,9,odd,0.15181909257080406
er_randN,0,0.95,0.8,1.0,0.1,0.001,10,even,0.051354939583688974
er_randN,0,0.95,0.8,1.0,0.1,0.005,1,odd,9.401971968822181
er_randN,0,0.95,0.8,1.0,0.1,0.005,2,even,4.085779180750251
er_randN,0,0.95,0.8,1.0,0.1,0.005,3,odd,4.833704862277955
er_randN,0,0.95,0.8,1.0,0.1,0.005,4,even,1.0977389672771096
er_randN,0,0.95,0.8,1.0,0.1,0.005,5,odd,1.7871169969439507
er_randN,0,0.95,0.8,1.0,0.1,0.005,6,even,0.2844642698764801
er_randN,0,0.95,0.8,1.0,0.1,0.005,7,odd,0.4871525429189205
er_randN,0,0.95,0.8,1.0,0.1,0.005,8,even,0.08360523637384176
er_randN,0,0.95,0.8,1.0,0.1,0.005,9,odd,0.10805804096162319
er_randN,0,0.95,0.8,1.0,0.1,0.005,10,even,0.01638656295835972
er_randN,0,0.95,0.8,1.0,0.1,0.01,1,odd,9.393873297609389
er_randN,0,0.95,0.8,1.0,0.1,0.01,2,even,4.085779180750251
er_randN,0,0.95,0.8,1.0,0.1,0.01,3,odd,4.821354295127094
er_randN,0,0.95,0.8,1.0,0.1,0.01,4,even,1.0977389672771096
er_randN,0,0.95,0.8,1.0,0.1,0.01,5,odd,1.777975995093584
er_randN,0,0.95,0.8,1.0,0.1,0.01,6,even,0.2844642698764801
er_randN,0,0.95,0.8,1.0,0.1,0.01,7,odd,0.4816361777484417
er_randN,0,0.95,0.8,1.0,0.1,0.01,8,even,0.08360523637384176
er_randN,0,0.95,0.8,1.0,0.1,0.01,9,odd,0.10805804096162319
er_randN,0,0.95,0.8,1.0,0.1,0.01,10,even,0.011334567330777645
real,0,1.05,0.8,1.0,0.0,0.0,1,odd,4.747713754025699
real,0,1.05,0.8,1.0,0.0,0.0,2,even,0.05205854728569648
real,0,1.05,0.8,1.0,0.0,0.0,3,odd,1.605821608211727
real,0,1.05,0.8,1.0,0.0,0.0,4,even,0.03693732507430081
real,0,1.05,0.8,1.0,0.0,0.0,5,odd,0.9696340588448038
real,0,1.05,0.8,1.0,0.0,0.0,6,even,0.040703819135861075
real,0,1.05,0.8,1.0,0.0,0.0,7,odd,0.24698129190117335
real,0,1.05,0.8,1.0,0.0,0.0,8,even,0.033687020195692696
real,0,1.05,0.8,1.0,0.0,0.0,9,odd,0.08589157008137249
real,0,1.05,0.8,1.0,0.0,0.0,10,even,0.03949687187667905
real,0,1.05,0.8,1.0,0.0,0.001,1,odd,4.727993255713955
real,0,1.05,0.8,1.0,0.0,0.001,2,even,0.037195142707787454
real,0,1.05,0.8,1.0,0.0,0.001,3,odd,1.5878099476685748
real,0,1.05,0.8,1.0,0.0,0.001,4,even,0.02025868301279843
real,0,1.05,0.8,1.0,0.0,0.001,5,odd,0.9520096862688661
real,0,1.05,0.8,1.0,0.0,0.001,6,even,0.02227716869674623
