mode,series_kind,metric,raw_rho,raw_rho_sd,performance,performance_sd,cv,cv_sd,n_groups,n_hparams,series,series_key,color,marker,normalization,sign_frac,dataset
sign_test_og_cel0.2__norm_spectral_radius,sign_sweep,MC,62.42941780090332,10.473748426381151,5.480989842923979,0.5474884184819974,0.3819105525971501,0.039649673863282046,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.2,Matched C. elegans sweep
sign_test_og_cel0.4__norm_spectral_radius,sign_sweep,GR,47.213699150085446,7.815672638156981,17.543149177978435,5.526658072403518,0.6381510756730545,0.02664503592834064,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.4,Matched C. elegans sweep
sign_test_og_cel0.4__norm_spectral_radius,sign_sweep,IPC,47.213699150085446,7.815672638156981,11.057828047718235,1.0838480481406094,0.34009901509425494,0.02873690923259039,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.4,Matched C. elegans sweep
sign_test_og_cel0.4__norm_spectral_radius,sign_sweep,KR,47.213699150085446,7.815672638156981,9.129308024160563,2.74132916575404,0.48856640646549887,0.040934004513806625,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.4,Matched C. elegans sweep
sign_test_og_cel0.4__norm_spectral_radius,sign_sweep,MC,47.213699150085446,7.815672638156981,6.60041792990019,0.7055964758777494,0.4405484716917599,0.03618976801466266,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.4,Matched C. elegans sweep
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,GR,73.51416778564453,0.0,5.788174936336776,0.5796703876109317,0.46774591340729166,0.015236554276611134,100,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.0,Removed C. elegans sweep
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,IPC,73.51416778564453,0.0,7.787000952710659,0.3531462985856187,0.2193295921758961,0.016724234716725517,100,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.0,Removed C. elegans sweep
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,KR,73.51416778564453,0.0,3.53548518307507,0.32918924334928856,0.2939943901909194,0.01480589765955863,100,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.0,Removed C. elegans sweep
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,MC,73.51416778564453,0.0,4.451864934253196,0.25128434533870564,0.28324039486539987,0.024678829900537803,100,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.0,Removed C. elegans sweep
sign_test_og_cel0.2425287356321839__norm_spectral_radius,sign_sweep,GR,42.76777557373047,8.13826340056257,11.06204828273505,2.8956069504194573,0.5348771004585126,0.02453134339304393,100,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2425287356321839,Removed C. elegans sweep
