config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
washout_x0.25,real,0,0.8,1.0,0.5,125,1500,500,3.1141340732574463,56.84438292436582
washout_x0.25,shuffle_weights,0,0.8,1.0,0.5,125,1500,500,5.250564098358154,88.13463449586541
washout_x0.25,cel_randN,0,0.8,1.0,0.5,125,1500,500,7.806236267089844,111.48017705141301
washout_x0.25,er_randN,0,0.8,1.0,0.5,125,1500,500,14.67032241821289,98.4604580362964
washout_x0.25,ws_p01_randN,0,0.8,1.0,0.5,125,1500,500,14.040571212768555,99.4106840681996
washout_x0.25,conn_shuf,0,0.8,1.0,0.5,125,1500,500,4.672266006469727,90.83470255834641
washout_x0.25,local_sign,0,0.8,1.0,0.5,125,1500,500,4.943650245666504,96.83958565797785
washout_x0.25,conn_shuf_only,0,0.8,1.0,0.5,125,1500,500,6.8273797035217285,114.76221514140676
washout_x0.25,cel_sample,0,0.8,1.0,0.5,125,1500,500,3.9778642654418945,92.87703986476015
washout_x0.25,local_sign+flat,0,0.8,1.0,0.5,125,1500,500,4.629305362701416,77.12554572976292
washout_x0.25,local_sign+sample,0,0.8,1.0,0.5,125,1500,500,5.248979568481445,108.61889447775663
washout_x0.25,local_sign+binary,0,0.8,1.0,0.5,125,1500,500,4.966771125793457,111.42521854848717
washout_x0.25,global_sign_pres,0,0.8,1.0,0.5,125,1500,500,5.155123710632324,100.7188991301587
washout_x0.25,binary+shuffle,0,0.8,1.0,0.5,125,1500,500,4.3847832679748535,105.58866045329297
washout_x0.25,real,0,0.8,1.0,1.0,125,1500,500,3.7438316345214844,89.28374535351496
washout_x0.25,shuffle_weights,0,0.8,1.0,1.0,125,1500,500,3.716674566268921,69.58616735002083
washout_x0.25,cel_randN,0,0.8,1.0,1.0,125,1500,500,5.629789352416992,133.20845735747181
washout_x0.25,er_randN,0,0.8,1.0,1.0,125,1500,500,9.786556243896484,100.48813667004208
washout_x0.25,ws_p01_randN,0,0.8,1.0,1.0,125,1500,500,9.963088989257812,102.8510873488229
washout_x0.25,conn_shuf,0,0.8,1.0,1.0,125,1500,500,3.092982769012451,65.13816939435794
washout_x0.25,local_sign,0,0.8,1.0,1.0,125,1500,500,3.7438607215881348,95.31096855268342
washout_x0.25,conn_shuf_only,0,0.8,1.0,1.0,125,1500,500,4.274045467376709,109.3450476212667
washout_x0.25,cel_sample,0,0.8,1.0,1.0,125,1500,500,4.5891804695129395,94.66599583533747
washout_x0.25,local_sign+flat,0,0.8,1.0,1.0,125,1500,500,3.862421989440918,87.46519381163328
