model,neuron_bias,capacity_threshold,order,parity,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
binary_base,0.1,0.005,3,odd,1.7375616599572823,0.4072315268654061,1.8109584792982787,1.0
binary_base,0.1,0.005,4,even,0.4877759262220934,0.2897819956983598,0.4037404744885862,0.28072438375170256
binary_base,0.1,0.005,5,odd,0.737456743279472,0.3097667213389052,0.7739750999026,0.4244204739747781
binary_base,0.1,0.005,6,even,0.14661568661686034,0.054928470086531005,0.1384152581449598,0.08438013452740714
binary_base,0.1,0.005,7,odd,0.24777522613294423,0.1372821388240625,0.21233348199166358,0.14259938616453804
binary_base,0.1,0.005,8,even,0.09568518882151693,0.03215851767537803,0.08881993032991886,0.05506865800887281
binary_base,0.1,0.005,9,odd,0.1140857279766351,0.04015881249293721,0.11486554145812988,0.06565852056118682
binary_base,0.1,0.005,10,even,0.08607648517936468,0.03440171644240864,0.09069507755339146,0.04953866510928934
binary_base,0.1,0.01,1,odd,3.166981250792742,0.45554840353485004,3.199959841091186,1.8791854030329052
binary_base,0.1,0.01,2,even,1.2911198720801622,0.3957577651361547,1.1869226242415607,0.7661092456961738
binary_base,0.1,0.01,3,odd,1.685294727003202,0.40230262369198483,1.7421360835433006,1.0
binary_base,0.1,0.01,4,even,0.43757526357658205,0.2882108501747327,0.35963448556140065,0.2596431689753638
binary_base,0.1,0.01,5,odd,0.6795218701008707,0.3050874811408753,0.7285759085789323,0.40320654851225896
binary_base,0.1,0.01,6,even,0.09712365460582077,0.06031847014047122,0.09143591253086925,0.0576300709007299
binary_base,0.1,0.01,7,odd,0.18504046178422867,0.14070261179564345,0.14201896451413631,0.10979709294721902
binary_base,0.1,0.01,8,even,0.04932864131405949,0.03302754706803301,0.03993567684665322,0.029270038364017127
binary_base,0.1,0.01,9,odd,0.06497211856767535,0.03778138302337772,0.057526853401213884,0.03855237753173834
binary_base,0.1,0.01,10,even,0.037863000156357886,0.027796429245140464,0.026705927215516567,0.02246669354011807
er_randN,0.0,0.0,1,odd,9.058126131192044,0.45842997328318946,9.05716870362222,2.263134717421961
er_randN,0.0,0.0,2,even,0.20495762970075507,0.05539461881438542,0.1798197314429899,0.051207801774697886
er_randN,0.0,0.0,3,odd,4.002468815250452,0.24393639579743442,4.027409828096575,1.0
er_randN,0.0,0.0,4,even,0.1843476483263793,0.062235067686607096,0.1562023028849655,0.04605848460929079
er_randN,0.0,0.0,5,odd,1.0752973658802207,0.24749381563125133,1.0297971619976716,0.2686585244045017
er_randN,0.0,0.0,6,even,0.17890978591448764,0.025086367306646276,0.17480115745101443,0.04469985755611501
er_randN,0.0,0.0,7,odd,0.2690696045201063,0.07156491416268358,0.24740046354146716,0.06722590904265907
er_randN,0.0,0.0,8,even,0.1768463113908915,0.021483735013131267,0.1765742810399047,0.044184307124907715
er_randN,0.0,0.0,9,odd,0.180544056400662,0.03651333055114024,0.17574559358052566,0.04510817316370885
er_randN,0.0,0.0,10,even,0.17987012586876877,0.03175495533112812,0.1873310738509204,0.04493979445471669
er_randN,0.0,0.001,1,odd,9.049032795394305,0.45951466808651203,9.048706077970564,2.2669444601140794
er_randN,0.0,0.001,2,even,0.19369089221581817,0.0572846555565984,0.16748756932793185,0.04852303058363149
er_randN,0.0,0.001,3,odd,3.991731140576303,0.24387486136817874,4.0190066954819486,1.0
er_randN,0.0,0.001,4,even,0.17091866141417994,0.06338202230111462,0.14378569996915758,0.0428181797307881
er_randN,0.0,0.001,5,odd,1.0636471892590635,0.24760570992608338,1.0168322863755748,0.2664626328278964
er_randN,0.0,0.001,6,even,0.16677586855366827,0.02524964670466743,0.16442279459442943,0.04178033606982612
er_randN,0.0,0.001,7,odd,0.2560874560673255,0.07219337179178029,0.23570549918804318,0.06415448512154881
er_randN,0.0,0.001,8,even,0.16420175208477303,0.02225773784010034,0.16544282739050686,0.04113547388391156
er_randN,0.0,0.001,9,odd,0.16757383803487755,0.0377871559740508,0.16243516642134637,0.041980241687992095
er_randN,0.0,0.001,10,even,0.1680942679522559,0.032701914727857107,0.1763605773448944,0.04211061868460094
er_randN,0.0,0.005,1,odd,8.99043325749226,0.4610036233593706,8.978914070641622,2.28708569029104
er_randN,0.0,0.005,2,even,0.11322936252690852,0.052824725715440043,0.09192599169909954,0.02880453559234845
er_randN,0.0,0.005,3,odd,3.9309560178080574,0.2432146033548236,3.9550165270920843,1.0
er_randN,0.0,0.005,4,even,0.09811455130111427,0.06813744293782481,0.07199017750099301,0.02495946300508953
er_randN,0.0,0.005,5,odd,0.9954848767258226,0.24318381860991398,0.9590678447857499,0.25324243573727784
er_randN,0.0,0.005,6,even,0.09581827658694238,0.02888675819037441,0.09432722860947251,0.024375311286329696
er_randN,0.0,0.005,7,odd,0.18681314243003727,0.07197047226781186,0.1741215866059065,0.0475235900843801
er_randN,0.0,0.005,8,even,0.08926478310022504,0.019526144011874105,0.08917478332296014,0.02270816124521282
er_randN,0.0,0.005,9,odd,0.09918903794605285,0.035329911874233386,0.0963490076828748,0.02523280278301402
er_randN,0.0,0.005,10,even,0.09377901626285165,0.03369913301335271,0.09584144852124155,0.023856541726239872
er_randN,0.0,0.01,1,odd,8.94664760278538,0.4486260625127532,8.931284258607775,2.3047916906883374
