model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
shuffle_weights,7,0.95,0.8,1.0,30,6.4688462018966675,100.0
shuffle_weights,7,0.95,0.8,1.0,50,6.4688462018966675,100.0
shuffle_weights,7,0.95,0.8,1.0,80,6.4688462018966675,100.0
cel_randN,7,0.95,0.8,1.0,30,12.291695415973663,100.0
cel_randN,7,0.95,0.8,1.0,50,12.291695415973663,100.0
cel_randN,7,0.95,0.8,1.0,80,12.291695415973663,100.0
er_randN,7,0.95,0.8,1.0,30,13.356192588806152,100.0
er_randN,7,0.95,0.8,1.0,50,13.356192588806152,100.0
er_randN,7,0.95,0.8,1.0,80,13.356192588806152,100.0
ws_p01_randN,7,0.95,0.8,1.0,30,13.303892135620117,100.0
ws_p01_randN,7,0.95,0.8,1.0,50,13.303892135620117,100.0
ws_p01_randN,7,0.95,0.8,1.0,80,13.303892135620117,100.0
conn_shuf,7,0.95,0.8,1.0,30,5.48138815164566,100.0
conn_shuf,7,0.95,0.8,1.0,50,5.48138815164566,100.0
conn_shuf,7,0.95,0.8,1.0,80,5.48138815164566,100.0
local_sign,7,0.95,0.8,1.0,30,6.6301857233047485,100.0
local_sign,7,0.95,0.8,1.0,50,6.6301857233047485,100.0
local_sign,7,0.95,0.8,1.0,80,6.6301857233047485,100.0
conn_shuf_only,7,0.95,0.8,1.0,30,2.313553273677826,100.0
conn_shuf_only,7,0.95,0.8,1.0,50,2.313553273677826,100.0
conn_shuf_only,7,0.95,0.8,1.0,80,2.313553273677826,100.0
cel_sample,7,0.95,0.8,1.0,30,5.606648743152618,100.0
cel_sample,7,0.95,0.8,1.0,50,5.606648743152618,100.0
cel_sample,7,0.95,0.8,1.0,80,5.606648743152618,100.0
local_sign+flat,7,0.95,0.8,1.0,30,4.144531607627869,100.0
local_sign+flat,7,0.95,0.8,1.0,50,4.144531607627869,100.0
local_sign+flat,7,0.95,0.8,1.0,80,4.144531607627869,100.0
local_sign+sample,7,0.95,0.8,1.0,30,3.4418017864227295,100.0
local_sign+sample,7,0.95,0.8,1.0,50,3.4418017864227295,100.0
local_sign+sample,7,0.95,0.8,1.0,80,3.4418017864227295,100.0
local_sign+binary,7,0.95,0.8,1.0,30,4.986231565475464,100.0
local_sign+binary,7,0.95,0.8,1.0,50,4.986231565475464,100.0
local_sign+binary,7,0.95,0.8,1.0,80,4.986231565475464,100.0
global_sign_pres,7,0.95,0.8,1.0,30,5.647255182266235,100.0
global_sign_pres,7,0.95,0.8,1.0,50,5.647255182266235,100.0
global_sign_pres,7,0.95,0.8,1.0,80,5.647255182266235,100.0
binary+shuffle,7,0.95,0.8,1.0,30,4.532460391521454,100.0
binary+shuffle,7,0.95,0.8,1.0,50,4.532460391521454,100.0
binary+shuffle,7,0.95,0.8,1.0,80,4.532460391521454,100.0
real,8,0.95,0.8,1.0,30,3.0539013743400574,99.72607619610261
real,8,0.95,0.8,1.0,50,3.0539013743400574,99.72607619610261
real,8,0.95,0.8,1.0,80,3.0622897148132324,100.0
shuffle_weights,8,0.95,0.8,1.0,30,4.223056256771088,100.0
shuffle_weights,8,0.95,0.8,1.0,50,4.223056256771088,100.0
shuffle_weights,8,0.95,0.8,1.0,80,4.223056256771088,100.0
cel_randN,8,0.95,0.8,1.0,30,10.108509480953217,100.0
cel_randN,8,0.95,0.8,1.0,50,10.108509480953217,100.0
cel_randN,8,0.95,0.8,1.0,80,10.108509480953217,100.0
er_randN,8,0.95,0.8,1.0,30,13.159859478473663,100.0
er_randN,8,0.95,0.8,1.0,50,13.159859478473663,100.0
er_randN,8,0.95,0.8,1.0,80,13.159859478473663,100.0
ws_p01_randN,8,0.95,0.8,1.0,30,12.918390929698944,100.0
ws_p01_randN,8,0.95,0.8,1.0,50,12.918390929698944,100.0
ws_p01_randN,8,0.95,0.8,1.0,80,12.918390929698944,100.0
conn_shuf,8,0.95,0.8,1.0,30,6.242472946643829,100.0
conn_shuf,8,0.95,0.8,1.0,50,6.242472946643829,100.0
conn_shuf,8,0.95,0.8,1.0,80,6.242472946643829,100.0
local_sign,8,0.95,0.8,1.0,30,4.227636754512787,100.0
local_sign,8,0.95,0.8,1.0,50,4.227636754512787,100.0
local_sign,8,0.95,0.8,1.0,80,4.227636754512787,100.0
conn_shuf_only,8,0.95,0.8,1.0,30,6.117307066917419,100.0
conn_shuf_only,8,0.95,0.8,1.0,50,6.117307066917419,100.0
conn_shuf_only,8,0.95,0.8,1.0,80,6.117307066917419,100.0
