mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,wt_mag_cv,seed,src
weight_test_cel_to_shuffled_cel0.25,39,0.8,0.8,0.1,4.43300724029541,4.524066993202254,2.2041964530944824,2.225872278213501,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,0.8,0.5,5.25560188293457,7.417244352240232,2.482804298400879,2.959378957748413,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,0.8,1.0,5.398976802825928,9.1481952360936,2.8418242931365967,3.805927038192749,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,0.8,1.5,5.338364601135254,9.258204047043932,3.0483784675598145,4.322592258453369,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,1.0,0.1,5.347358226776123,5.525480196944329,2.349453926086426,2.3813490867614746,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,1.0,0.5,6.102786540985107,8.832282462414994,2.648670196533203,3.1876864433288574,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,1.0,1.0,6.11744499206543,10.479746184212217,3.0401878356933594,4.127315521240234,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.8,1.0,1.5,6.012477397918701,10.545094449216265,3.270127534866333,4.707635402679443,0.0013696426758542657,0.6370882391929626,0.4252020665324899,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.6,0.1,4.07797384262085,4.158094647761118,2.6426167488098145,2.6709799766540527,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.6,0.5,4.92619514465332,6.835126411592277,2.895249366760254,3.3573763370513916,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.6,1.0,5.066655158996582,8.567734891774165,3.2220001220703125,4.174630165100098,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.6,1.5,5.0515522956848145,8.754539144720127,3.4191620349884033,4.698150634765625,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.8,0.1,4.824972152709961,4.9100521701416255,2.7811431884765625,2.800135612487793,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.8,0.5,5.723393440246582,8.059988611220433,3.064702033996582,3.5780341625213623,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,0.95,0.8,1.0,5.758640766143799,9.71262073961276,3.4324448108673096,4.500654697418213,0.0016264505684375763,0.6370881199836731,0.4252020720653767,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
