mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,140,0.95,0.8,1.5,0.0,2.7368314266204834,5.805901794951993,4.156672477722168,8.4360933303833,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,1.5,0.1,3.624960422515869,5.40000712442361,4.813398838043213,10.106371879577637,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,0.1,0.0,8.25708293914795,9.644360011631989,4.216958999633789,4.408412456512451,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,0.1,0.1,8.021894454956055,9.212108463067455,4.424726963043213,4.764065265655518,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,0.5,0.0,4.923583984375,8.494505583027603,4.595121383666992,6.700612545013428,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,0.5,0.1,5.777575969696045,8.197686887656005,5.144710540771484,7.774850845336914,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,1.0,0.0,5.03511381149292,9.324658799489839,4.888831615447998,9.057369232177734,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,1.0,0.1,3.660822629928589,6.059665767375394,5.59499979019165,10.66614818572998,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,1.5,0.0,4.132613658905029,7.299431278272417,5.074312686920166,10.744330406188965,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,1.0,1.5,0.1,3.7890706062316895,6.544003392850133,5.834471702575684,12.649572372436523,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,1.05,0.6,0.1,0.0,7.089155197143555,7.978747274533305,2.7532670497894287,2.891183614730835,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,0.1,0.1,6.844775199890137,7.623297573773698,2.8896596431732178,3.1333584785461426,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,0.5,0.0,6.28253698348999,9.434019155595934,3.2555644512176514,4.57547664642334,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,0.5,0.1,5.919106483459473,8.663586453546163,3.683171510696411,5.443277835845947,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,1.0,0.0,4.226607322692871,7.34065885953305,3.6528255939483643,6.403963088989258,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,1.0,0.1,3.6387689113616943,5.500356033927346,4.230895042419434,7.741268634796143,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,1.5,0.0,3.2936179637908936,5.551810850401807,3.8788869380950928,7.693204402923584,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.6,1.5,0.1,1.5754566192626953,3.2961366629470206,4.508119106292725,9.29787540435791,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,0.1,0.0,7.700972080230713,8.899453643102333,3.419374704360962,3.608302354812622,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,0.1,0.1,7.354557037353516,8.36392066169348,3.59468936920166,3.9134256839752197,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,0.5,0.0,6.284422397613525,9.091232537793985,3.982915163040161,5.7472243309021,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,0.5,0.1,5.868376731872559,8.488041580080047,4.490425109863281,6.750098705291748,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,1.0,0.0,3.659304618835449,6.833480926949051,4.377542018890381,7.977578163146973,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,1.0,0.1,4.070205211639404,6.359450425148355,5.046831130981445,9.502551078796387,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,1.5,0.0,3.9738335609436035,6.239553189633369,4.603233337402344,9.558971405029297,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,0.8,1.5,0.1,3.343848466873169,5.562433566967906,5.326671123504639,11.372041702270508,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,0.1,0.0,6.562777519226074,7.876225188597402,5.372061252593994,6.11754035949707,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,0.1,0.1,6.297892093658447,7.406817329066655,5.738439083099365,6.6200361251831055,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,0.5,0.0,6.589577674865723,9.63176203428165,5.637944221496582,8.363568305969238,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
